NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127085,Nguyen Van 57,2001/02/26,19CLC5
2,19127086,Nguyen Van 58,2001/02/27,19CLC5
3,19127087,Nguyen Van 59,2001/02/28,19CLC5
4,19127088,Nguyen Van 60,2001/03/01,19CLC5
5,19127089,Nguyen Van 61,2001/03/02,19CLC5
6,19127090,Nguyen Van 62,2001/03/03,19CLC5
7,19127091,Nguyen Van 63,2001/03/04,19CLC5
8,19127092,Nguyen Van 64,2001/03/05,19CLC5
9,19127093,Nguyen Van 65,2001/03/06,19CLC5
10,19127094,Nguyen Van 66,2001/03/07,19CLC5
11,19127095,Nguyen Van 67,2001/03/08,19CLC5
12,19127096,Nguyen Van 68,2001/03/09,19CLC5
13,19127097,Nguyen Van 69,2001/03/10,19CLC5
14,19127098,Nguyen Van 70,2001/03/11,19CLC5
