NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127071,Nguyen Van 43,2001/02/12,19CLC4
2,19127072,Nguyen Van 44,2001/02/13,19CLC4
3,19127073,Nguyen Van 45,2001/02/14,19CLC4
4,19127074,Nguyen Van 46,2001/02/15,19CLC4
5,19127075,Nguyen Van 47,2001/02/16,19CLC4
6,19127076,Nguyen Van 48,2001/02/17,19CLC4
7,19127077,Nguyen Van 49,2001/02/18,19CLC4
8,19127078,Nguyen Van 50,2001/02/19,19CLC4
9,19127079,Nguyen Van 51,2001/02/20,19CLC4
10,19127080,Nguyen Van 52,2001/02/21,19CLC4
11,19127081,Nguyen Van 53,2001/02/22,19CLC4
12,19127082,Nguyen Van 54,2001/02/23,19CLC4
13,19127083,Nguyen Van 55,2001/02/24,19CLC4
14,19127084,Nguyen Van 56,2001/02/25,19CLC4
