NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127113,Nguyen Van 85,2001/03/26,19CLC7
2,19127114,Nguyen Van 86,2001/03/27,19CLC7
3,19127115,Nguyen Van 87,2001/03/28,19CLC7
4,19127116,Nguyen Van 88,2001/03/29,19CLC7
5,19127117,Nguyen Van 89,2001/03/30,19CLC7
6,19127118,Nguyen Van 90,2001/03/31,19CLC7
7,19127119,Nguyen Van 91,2001/04/01,19CLC7
8,19127120,Nguyen Van 92,2001/04/02,19CLC7
9,19127121,Nguyen Van 93,2001/04/03,19CLC7
10,19127122,Nguyen Van 94,2001/04/04,19CLC7
11,19127123,Nguyen Van 95,2001/04/05,19CLC7
12,19127124,Nguyen Van 96,2001/04/06,19CLC7
13,19127125,Nguyen Van 97,2001/04/07,19CLC7
14,19127126,Nguyen Van 98,2001/04/08,19CLC7
