NO,STUDENT ID,FULL NAME,DOB,CLASS
1,19127141,Nguyen Van 113,2001/04/23,19CLC9
2,19127142,Nguyen Van 114,2001/04/24,19CLC9
3,19127143,Nguyen Van 115,2001/04/25,19CLC9
4,19127144,Nguyen Van 116,2001/04/26,19CLC9
5,19127145,Nguyen Van 117,2001/04/27,19CLC9
6,19127146,Nguyen Van 118,2001/04/28,19CLC9
7,19127147,Nguyen Van 119,2001/04/29,19CLC9
8,19127148,Nguyen Van 120,2001/04/30,19CLC9
9,19127149,Nguyen Van 121,2001/05/01,19CLC9
10,19127150,Nguyen Van 122,2001/05/02,19CLC9
11,19127151,Nguyen Van 123,2001/05/03,19CLC9
12,19127152,Nguyen Van 124,2001/05/04,19CLC9
13,19127153,Nguyen Van 125,2001/05/05,19CLC9
14,19127154,Nguyen Van 126,2001/05/06,19CLC9
